sample_id,degree,train_error,test_error,train_r2,test_r2,error_difference
20,2,93396.6380593318,1415479.2138462686,0.865053890054197,0.5247608883359541,-1322082.5757869368
20,3,39341.29568502477,1727511.6800728447,0.94315689597361,0.41999775892417546,-1688170.38438782
20,4,7232.042314275777,5804591.030529005,0.9895506305413801,-0.9488584911295586,-5797358.988214729
20,5,5431.412503793557,706675.653196966,0.9921523086469952,0.7627376605924429,-701244.2406931724
20,6,5182.029448645875,6701734.638379172,0.9925126350343026,-1.2500693651990216,-6696552.608930526
20,7,5171.887289861259,11812471.052174823,0.992527289147158,-2.9659701071403473,-11807299.164884962
20,8,5072.492975482594,7766032349.7556,0.99267090112672,-2606.4012807459944,-7766027277.262625
20,9,4996.83611983984,231951859485.94812,0.9927802155364447,-77875.52024319845,-231951854489.112
20,10,4413.674866686718,110233126160413.03,0.9936228084200787,-37010145.41541391,-110233126155999.36
21,1,59347.75119946527,1627716.8602369556,0.94933750409059,0.45350330323987764,-1568369.1090374903
21,2,48890.28379761177,1319500.8102552611,0.9582645719029584,0.5569850925597524,-1270610.5264576494
21,3,9346.526296634107,3443880.234674911,0.9920212924550597,-0.15626324102419797,-3434533.708378277
21,4,7800.279287476711,2895440.8567556557,0.9933412537205352,0.027872167121919866,-2887640.577468179
21,5,6499.995802795949,941259.0833319426,0.9944512470293349,0.6839776054408602,-934759.0875291466
21,6,6397.566180668456,11659399.149976287,0.9945386865734988,-2.9145770848268038,-11653001.583795618
21,7,6232.7846571537,251134431.31944183,0.9946793531209633,-83.31695985432467,-251128198.53478467
21,8,4575.809131657708,80899443207.94359,0.9960938383219323,-27160.528864693468,-80899438632.13446
21,9,3035.517507424015,3500517797744.769,0.9974087157441579,-1175277.9813451003,-3500517794709.2515
21,10,2975.5811800009124,3291193375487.239,0.9974598806810178,-1104998.4947160142,-3291193372511.6577
22,1,995764.939399658,2469779.97562997,0.8646720694248756,0.1707853918711716,-1474015.036230312
22,2,276767.1864344979,966711.9074705208,0.9623863734207581,0.6754319642088069,-689944.721036023
22,3,111099.38274561118,1705191.7983316698,0.9849012061378646,0.42749153252915795,-1594092.4155860585
22,4,43657.31027148687,3613168.999914023,0.9940668191660992,-0.21310098305526992,-3569511.6896425365
22,5,3339.732928146147,13594.46325364014,0.9995461186390916,0.9954357361259626,-10254.730325493994
22,6,2426.7187680504135,1010622.8324568798,0.9996702004499515,0.6606891203869193,-1008196.1136888294
22,7,2418.8033479456417,433670.9353439634,0.9996712761831693,0.8543974450127356,-431252.13199601776
22,8,2391.6114124478663,24964709.314321432,0.9996749716621057,-7.381759450391893,-24962317.702908985
22,9,2335.61376746688,662230328.7599753,0.9996825819374956,-221.3400740034183,-662227993.1462078
22,10,2307.610631034677,10840393739.256533,0.9996863876614702,-3638.60066692458,-10840391431.6459
23,1,632745.8056930143,1800501.8160881116,0.8032646650703594,0.39549173505549806,-1167756.0103950973
23,2,219418.44163618074,1054291.1274139376,0.9317777214536336,0.6460277382201801,-834872.6857777569
23,3,28533.646372419647,1878373.4171124457,0.9911282280730511,0.36934678701765233,-1849839.7707400261
23,4,27763.688852796127,1707498.592258338,0.9913676257097354,0.4267170395618448,-1679734.9034055418
23,5,11104.369809708945,15034.718452243298,0.9965473940814148,0.9949521786180471,-3930.3486425343526
23,6,10835.064908644588,302675.0180843602,0.9966311272163204,0.8983785806882695,-291839.95317571564
23,7,9880.790165309942,8733003.044837598,0.9969278333494243,-1.9320562030088393,-8723122.254672287
23,8,8153.70815713854,432538156.9058567,0.9974648231710421,-144.22223105642036,-432530003.1976996
23,9,8115.654238701168,213277862.2636361,0.9974766550161872,-70.60683167106215,-213269746.6093974
23,10,8114.958501151281,96935962.30388525,0.9974768713371153,-31.545699126459347,-96927847.3453841
