,gram_count,document_count,Average_freq,maha_dist,zscore_gram_count,zscore_document_count
trend,915,42,21.785714285714285,5.3575600773942,2.253107065658638,3.35550496867443
sales,803,26,30.884615384615383,7.502896889036822,1.9706435716769752,1.9354449302334042
population,814,64,12.71875,5.481052803783332,1.9983855219787456,5.30808752153084
series,2542,76,33.44736842105263,8.705447852910503,6.356393714838688,6.3731325503616105
order,664,97,6.845360824742268,8.393862850269308,1.6200861996818756,8.236961350815458
v,678,62,10.935483870967742,5.257238852125394,1.6553941364295834,5.1305800167257125
value,1510,124,12.17741935483871,10.64872900036089,3.753694377436222,10.633312665684688
mean,1263,104,12.14423076923077,8.861046961624663,3.1307614933873764,8.858237617633407
normal,989,58,17.051724137931036,5.372918486998833,2.439734731325094,4.775565007115456
forecast,961,35,27.457142857142856,6.494216022599914,2.3691188578296782,2.7342287018564813
smoothing,623,33,18.87878787878788,4.6103499473293885,1.5166843849207312,2.556721197051353
z,715,57,12.543859649122806,4.936169521196444,1.7487079692628114,4.686811254712891
seasonal,821,32,25.65625,6.106213051812861,2.0160394903525996,2.467967444648789
