,gram_count,document_count,Average_freq,maha_dist,mad_z_gram_count,mad_z_document_count,mad_z_Average_freq
tasks,16,6,2.6666666666666665,1.7536346875965576,10.1175,3.3725,1.1241666666666665
sliding,23,2,11.5,2.311069059168841,14.839,0.6745,7.08225
window,46,3,15.333333333333334,3.0587866895330187,30.3525,1.349,9.667833333333334
most,49,12,4.083333333333333,4.2692814734120805,32.376,7.4195,2.079708333333333
recent,12,5,2.4,1.3304109032922478,7.4195,2.698,0.9442999999999999
allowed,14,3,4.666666666666667,0.6960446875833781,8.7685,1.349,2.4731666666666667
allocations,50,4,12.5,2.322683287695695,33.0505,2.0235,7.75675
known,64,14,4.571428571428571,5.097120756859237,42.4935,8.7685,2.408928571428571
36,12,7,1.7142857142857142,2.227881070755732,7.4195,4.047,0.4817857142857142
neyalloc,16,1,16.0,3.695272871609357,10.1175,0.0,10.1175
statistics,36,10,3.6,3.436746123477122,23.607499999999998,6.0705,1.7537
literature,25,6,4.166666666666667,1.7316307613026696,16.188,3.3725,2.1359166666666667
subset,18,5,3.6,1.3154926790036738,11.4665,2.698,1.7537
does,29,10,2.9,3.468829667952046,18.886,6.0705,1.28155
no,71,15,4.733333333333333,5.514257438778714,47.214999999999996,9.443,2.518133333333333
how,64,13,4.923076923076923,4.654339988723543,42.4935,8.094,2.646115384615385
hence,32,10,3.2,3.4545927585971015,20.9095,6.0705,1.4839
addition,23,6,3.8333333333333335,1.7320671502775518,14.839,3.3725,1.9110833333333335
experimental,12,5,2.4,1.3304109032922478,7.4195,2.698,0.9442999999999999
evaluation,39,6,6.5,1.7990147321311438,25.631,3.3725,3.70975
detailed,20,7,2.857142857142857,2.1780916587770363,12.8155,4.047,1.2526428571428572
considering,13,8,1.625,2.6672787472915793,8.094,4.7215,0.4215625
both,80,14,5.714285714285714,5.040163723812862,53.2855,8.7685,3.1797857142857144
accuracy,132,8,16.5,3.1917077269196814,88.3595,4.7215,10.45475
found,30,10,3.0,3.464003547704593,19.5605,6.0705,1.349
prior,19,4,4.75,0.9874103489474779,12.141,2.0235,2.529375
5,184,18,10.222222222222221,6.5458834753918325,123.4335,11.4665,6.2203888888888885
100,130,12,10.833333333333334,4.096501759353994,87.0105,7.4195,6.632583333333334
b,215,13,16.53846153846154,4.547862183919053,144.343,8.094,10.480692307692308
produced,8,4,2.0,0.9127906897719432,4.7215,2.0235,0.6745
yield,7,5,1.4,1.3785222738124179,4.047,2.698,0.26979999999999993
accurate,12,5,2.4,1.3304109032922478,7.4195,2.698,0.9442999999999999
range,29,5,5.8,1.4104754964035122,18.886,2.698,3.2376
tion,31,8,3.875,2.5743349379150593,20.235,4.7215,1.9391875
followed,8,4,2.0,0.9127906897719432,4.7215,2.0235,0.6745
function,48,15,3.2,5.60600351533966,31.7015,9.443,1.4839
average,52,14,3.7142857142857144,5.144842752516166,34.399499999999996,8.7685,1.8307857142857142
c,276,16,17.25,5.710285110055603,185.48749999999998,10.1175,10.960625
related,22,10,2.2,3.504834378142861,14.1645,6.0705,0.8094000000000001
reservoir,28,2,14.0,2.9329081486905686,18.2115,0.6745,8.7685
variants,7,3,2.3333333333333335,0.4697139373905674,4.047,1.349,0.8993333333333334
considered,22,9,2.4444444444444446,3.0590559080741744,14.1645,5.396,0.9742777777777779
25,57,10,5.7,3.365075675621288,37.772,6.0705,3.17015
distinct,10,4,2.5,0.8963187704492105,6.0705,2.0235,1.01175
or,306,19,16.105263157894736,6.9412399553509,205.7225,12.141,10.1885
26,37,9,4.111111111111111,2.991250274641267,24.282,5.396,2.098444444444444
distributed,22,10,2.2,3.504834378142861,14.1645,6.0705,0.8094000000000001
15,68,16,4.25,5.96923641865285,45.1915,10.1175,2.192125
16,75,12,6.25,4.179341758304118,49.913,7.4195,3.541125
18,68,14,4.857142857142857,5.0821581957268895,45.1915,8.7685,2.6016428571428567
40,48,11,4.363636363636363,3.830651073300935,31.7015,6.745,2.268772727272727
online,23,6,3.8333333333333335,1.7320671502775518,14.839,3.3725,1.9110833333333335
weight,16,9,1.7777777777777777,3.0936757597367044,10.1175,5.396,0.524611111111111
depends,22,9,2.4444444444444446,3.0590559080741744,14.1645,5.396,0.9742777777777779
changes,12,4,3.0,0.8934707749290605,7.4195,2.0235,1.349
even,40,11,3.6363636363636362,3.8632132103630585,26.3055,6.745,1.7782272727272725
after,60,12,5.0,4.2274271133056835,39.7955,7.4195,2.698
observed,33,5,6.6,1.4798272920723003,21.584,2.698,3.7771999999999997
weighted,18,8,2.25,2.635339455942587,11.4665,4.7215,0.843125
22,87,11,7.909090909090909,3.728366878935793,58.007,6.745,4.660181818181818
observation,10,5,2.0,1.3459182276804824,6.0705,2.698,0.6745
change,23,5,4.6,1.3398001733464862,14.839,2.698,2.4282
35,36,7,5.142857142857143,2.142464414433525,23.607499999999998,4.047,2.794357142857143
et,169,8,21.125,3.763600468442534,113.316,4.7215,13.5743125
al,68,9,7.555555555555555,2.9416426304215073,45.1915,5.396,4.421722222222222
their,79,14,5.642857142857143,5.043495762449231,52.611,8.7685,3.1316071428571433
6,136,16,8.5,5.7637004740781,91.0575,10.1175,5.05875
32,55,9,6.111111111111111,2.9471773064312545,36.423,5.396,3.4474444444444443
machine,66,6,11.0,2.218852140183361,43.8425,3.3725,6.745
learning,149,7,21.285714285714285,3.7834851705841896,99.826,4.047,13.682714285714285
determining,9,4,2.25,0.9028838888464695,5.396,2.0235,0.843125
probability,41,8,5.125,2.5501296071667268,26.98,4.7215,2.7823124999999997
version,14,7,2.0,2.2135290804982004,8.7685,4.047,0.6745
weights,27,13,2.076923076923077,4.813470114367191,17.537,8.094,0.7263846153846155
resulting,16,6,2.6666666666666665,1.7536346875965576,10.1175,3.3725,1.1241666666666665
like,18,11,1.6363636363636365,3.9717422844832058,11.4665,6.745,0.4292272727272728
here,33,12,2.75,4.3397495914200865,21.584,7.4195,1.180375
majority,8,5,1.6,1.3664447425443078,4.7215,2.698,0.40470000000000006
assumed,12,6,2.0,1.7796078007700256,7.4195,3.3725,0.6745
7,123,16,7.6875,5.794343325392252,82.289,10.1175,4.51071875
2,763,20,38.15,9.472872362812838,513.9689999999999,12.8155,25.057675
being,37,11,3.3636363636363638,3.876394315539738,24.282,6.745,1.5942727272727273
parts,14,5,2.8,1.3200996638193465,8.7685,2.698,1.2141
stratification,114,10,11.4,3.367524159346356,76.21849999999999,6.0705,7.0148
cation,18,7,2.5714285714285716,2.1886127100317236,11.4665,4.047,1.0599285714285716
partitioning,8,2,4.0,0.44957225393225925,4.7215,0.6745,2.0235
assignment,9,4,2.25,0.9028838888464695,5.396,2.0235,0.843125
unique,8,4,2.0,0.9127906897719432,4.7215,2.0235,0.6745
applications,27,6,4.5,1.7337555192974885,17.537,3.3725,2.36075
usually,22,9,2.4444444444444446,3.0590559080741744,14.1645,5.396,0.9742777777777779
17,45,11,4.090909090909091,3.8424170089236585,29.678,6.745,2.0848181818181817
works,24,7,3.4285714285714284,2.161018136855794,15.5135,4.047,1.6380714285714284
3,294,18,16.333333333333332,6.519706386062749,197.6285,11.4665,10.342333333333332
stratify,14,8,1.75,2.660527966493362,8.7685,4.7215,0.505875
table,150,14,10.714285714285714,4.886263560282782,100.5005,8.7685,6.552285714285714
