,gram_count,document_count,Average_freq,maha_dist,zscore_gram_count,zscore_document_count,zscore_Average_freq
each,323,18,17.944444444444443,6.557580882196993,4.193540066922185,3.8383983537255593,3.3396415777719306
stratum,472,13,36.30769230769231,6.17310196372258,4.5148589620807416,3.3457600112148747,4.314193680333242
has,116,17,6.823529411764706,6.252937900687186,3.326080577479488,3.751869503169961,2.0025726813904674
large,100,16,6.25,5.858734674195169,3.200357403245018,3.660093358789312,1.8811660986667602
points,13,8,1.625,2.6672787472915793,1.4721332430501923,2.610777522845187,0.018384684357937383
choose,21,8,2.625,2.6183895465988156,1.8783685741962868,2.610777522845187,0.6815554189819576
can,354,19,18.63157894736842,7.010642989133409,4.271170092172895,3.9202476248119167,3.391604901387127
smaller,51,14,3.642857142857143,5.1490089863563755,2.629982712027672,3.4579478277876654,1.134693235541603
than,137,17,8.058823529411764,6.198682807218982,3.4670263436230435,3.751869503169961,2.2326637151069604
1,922,19,48.526315789473685,10.563473554879906,5.082033129275185,3.9202476248119167,4.715321955926635
introduction,30,13,2.3076923076923075,4.79882953226429,2.1804997194293376,3.3457600112148747,0.5034007356182303
method,104,15,6.933333333333334,5.406542161691928,3.2335803676927064,3.5623921862860053,2.024648063065418
analysis,92,12,7.666666666666667,4.13779191052533,3.129726759213972,3.224587938285373,2.163680055450528
features,33,7,4.714285714285714,2.1424493747123745,2.2612347816085165,2.408631991843541,1.491228510061096
every,30,12,2.5,4.354189966302844,2.1804997194293376,3.224587938285373,0.6140866423838225
system,16,6,2.6666666666666665,1.7536346875965576,1.6480197754293502,2.1752721023412476,0.7033328078503631
its,50,13,3.8461538461538463,4.708961907189596,2.613208361697513,3.3457600112148747,1.2097886004097076
many,68,14,4.857142857142857,5.0821581957268895,2.8736715819355183,3.4579478277876654,1.5325102506706119
important,44,10,4.4,3.4050222114112243,2.504923651516363,2.94858177084582,1.3958227102967788
classes,35,7,5.0,2.142113183186786,2.311077216464462,2.408631991843541,1.5725952490042923
queries,18,1,18.0,4.21909889424038,1.7477910771611622,-0.5371699849871888,3.3439161889452156
whose,22,6,3.6666666666666665,1.7332456138429237,1.9177746099688584,2.1752721023412476,1.143701968467786
error,91,12,7.583333333333333,4.139847716281952,3.1204689948199844,3.224587938285373,2.148566947497028
small,78,13,6.0,4.60682245576804,2.98989149778486,3.3457600112148747,1.8247159908332848
statistical,76,11,6.909090909090909,3.747464235218759,2.967888260416017,3.0928663958147458,2.01980450079856
be,715,19,37.63157894736842,8.828613147261208,4.866653057687553,3.9202476248119167,4.363718465666018
obtained,79,11,7.181818181818182,3.741481447589383,3.0006824336571296,3.0928663958147458,2.0733403069982295
through,43,11,3.909090909090909,3.8505584836879634,2.4854497591456743,3.0928663958147458,1.2322336748053255
over,59,14,4.214285714285714,5.116491790704877,2.7534118374382275,3.4579478277876654,1.336188717339273
derived,17,7,2.4285714285714284,2.19436137613984,1.6993734988405087,2.408631991843541,0.5740016440501421
sample,984,17,57.88235294117647,10.896281784524833,5.137161471621429,3.751869503169961,4.959124598337599
are,731,19,38.473684210526315,8.949834311607814,4.885399648746851,3.9202476248119167,4.394321885928399
part,31,11,2.8181818181818183,3.9043141236851855,2.2082752245211696,3.0928663958147458,0.7797520080152487
all,263,19,13.842105263157896,6.919791069905721,4.019467188880342,3.9202476248119167,2.980705143326716
major,7,6,1.1666666666666667,1.825276782848588,0.9477593610091233,2.1752721023412476,-0.43982776400096424
database,31,6,5.166666666666667,1.7456397954508032,2.2082752245211696,2.1752721023412476,1.6179381837616802
uniform,16,2,8.0,1.4408440559517086,1.6480197754293502,0.5121458509569364,2.2225330059622936
element,58,5,11.6,2.174185757941716,2.7389315359319832,1.899265934901694,2.736344324446399
population,469,13,36.07692307692308,6.145327582114497,4.5094578151280835,3.3457600112148747,4.305376420194147
chosen,27,7,3.857142857142857,2.15174629860453,2.091251248800821,2.408631991843541,1.2137339258061253
with,682,19,35.89473684210526,8.586912589417006,4.826626225250696,3.9202476248119167,4.298375493657814
same,88,16,5.5,5.897375071914369,3.092072693063868,3.660093358789312,1.7043935599592468
ability,15,6,2.5,1.7592182807292909,1.593350677881833,2.1752721023412476,0.6140866423838225
may,172,16,10.75,5.701148523636054,3.6597478422406833,3.660093358789312,2.631111442043218
however,86,13,6.615384615384615,4.582945709659067,3.0725988006931786,3.3457600112148747,1.9597339437861652
lead,14,9,1.5555555555555556,3.1061298357863727,1.5349084025566282,2.7890825177814342,-0.04201074887195552
high,24,8,3.0,2.6031401720159586,1.991479947069009,2.610777522845187,0.8662073842128154
estimation,31,7,4.428571428571429,2.144169615898502,2.2082752245211696,2.408631991843541,1.4047731338635294
suppose,31,9,3.4444444444444446,3.0150813028256445,2.2082752245211696,2.7890825177814342,1.0572465922702192
estimate,110,13,8.461538461538462,4.526031453126901,3.281092465424197,3.3457600112148747,2.300095517985132
