,gram_count,document_count,Average_freq,maha_dist
additional,23,8,2.875,2.6080324387991625
reason,20,7,2.857142857142857,2.1780916587770363
beyond,7,6,1.1666666666666667,1.825276782848588
give,17,8,2.125,2.6413617586142877
us,34,13,2.6153846153846154,4.779772323802206
selecting,38,8,4.75,2.5552645248761503
focus,9,6,1.5,1.8053051819952584
full,10,7,1.4285714285714286,2.2434640013974523
save,12,2,6.0,0.9441418324274715
whole,30,11,2.727272727272727,3.909166947308549
records,14,2,7.0,1.192392676912969
created,10,7,1.4285714285714286,2.2434640013974523
could,66,12,5.5,4.206931090325111
run,17,6,2.8333333333333335,1.7486677593322508
source,21,7,3.0,2.173323999807144
access,9,6,1.5,1.8053051819952584
evaluate,23,8,2.875,2.6080324387991625
samplers,12,1,12.0,2.650869234130247
estimates,73,11,6.636363636363637,3.754023691219162
80,53,7,7.571428571428571,2.2006127119759493
relative,51,10,5.1,3.381700490644964
fraction,13,9,1.4444444444444444,3.1125252569729787
150,14,5,2.8,1.3200996638193465
200,27,10,2.7,3.478721684976106
count,63,5,12.6,2.345263304420262
figure,157,8,19.625,3.5661660992317543
openaq,13,1,13.0,2.9113818776869285
dataset,189,10,18.9,3.787476976173942
asrs,14,1,14.0,3.1723512312917093
proportional,105,11,9.545454545454545,3.714125006690217
parameter,39,12,3.25,4.3120195774964545
implemented,14,5,2.8,1.3200996638193465
determine,21,9,2.3333333333333335,3.0645363982331473
between,87,11,7.909090909090909,3.728366878935793
37,17,7,2.4285714285714284,2.19436137613984
generate,29,7,4.142857142857143,2.147270580339907
type,41,11,3.727272727272727,3.858936221476977
stratifying,11,6,1.8333333333333333,1.7875941634100148
were,199,12,16.583333333333332,4.20614734553916
specified,16,6,2.6666666666666665,1.7536346875965576
five,9,6,1.5,1.8053051819952584
vector,15,4,3.75,0.9148555446725114
normalized,17,3,5.666666666666667,0.8842077194638219
discussion,12,6,2.0,1.7796078007700256
difference,18,8,2.25,2.635339455942587
less,41,13,3.1538461538461537,4.7477148053702924
comparison,44,11,4.0,3.8464581186426976
generally,19,10,1.9,3.521435983121933
fixed,66,8,8.25,2.5789979626412274
better,63,12,5.25,4.2169707488085795
nearly,7,6,1.1666666666666667,1.825276782848588
batch,14,3,4.666666666666667,0.6960446875833781
1k,16,2,8.0,1.4408440559517086
performance,171,8,21.375,3.7974387637658893
having,12,8,1.5,2.6742082962762694
sensitivity,33,6,5.5,1.7553476245529538
makes,13,7,1.8571428571428572,2.220549668372045
constructed,16,5,3.2,1.3151067363730369
evaluating,12,7,1.7142857142857142,2.227881070755732
knowledge,48,8,6.0,2.5453181123448867
four,27,10,2.7,3.478721684976106
month,13,2,6.5,1.0682334471793369
2016,27,6,4.5,1.7337555192974885
errors,28,5,5.6,1.3957747358065578
take,32,14,2.2857142857142856,5.233561005908837
place,8,7,1.1428571428571428,2.260252413031539
often,35,8,4.375,2.5622290566161117
quota,15,3,5.0,0.7558496648998655
123456789,11,1,11.0,2.390962590857764
2error,11,1,11.0,2.390962590857764
remains,8,6,1.3333333333333333,1.8150128756359525
termed,7,6,1.1666666666666667,1.825276782848588
described,20,9,2.2222222222222223,3.0701335398257665
report,29,6,4.833333333333333,1.7384320333809786
compare,37,11,3.3636363636363638,3.876394315539738
about,60,15,4.0,5.556477427175496
conclusions,10,6,1.6666666666666667,1.7961627204265262
presented,55,7,7.857142857142857,2.2137280148265654
several,27,10,2.7,3.478721684976106
research,67,9,7.444444444444445,2.941277022538783
references,10,9,1.1111111111111112,3.1323767660136443
proc,20,3,6.666666666666667,1.0907470137475161
sigmod,6,1,6.0,1.1154109190450063
heterogeneous,19,6,3.1666666666666665,1.7406043584312332
information,99,17,5.823529411764706,6.304016323595682
39,14,6,2.3333333333333335,1.7654126876339178
2014,24,5,4.8,1.348555782610503
wang,30,5,6.0,1.4262672619459456
models,141,8,17.625,3.320028937849916
areas,75,6,12.5,2.4176457162587077
2015,31,5,6.2,1.4431142168061473
